"","Pos","LW","Weeks","Song","Artist","hit_week"
"4490","10","12","4","Jack and Jill","Tommy Roe",1969-09-26
"4491","11","5","11","Turn Around","Ken J. Larkin",1969-09-26
"4492","12","8","7","Let Me","Paul Revere & The Raiders",1969-09-26
"4493","13","14","3","Spinning Wheel","Blood, Sweat and Tears",1969-09-26
"4494","14","15","4","Way of Life","Family Dogg",1969-09-26
"4495","15","19","2","Katrina’s Theme","Jill Kirkland",1969-09-26
"4496","16","17","2","Abergavenny","Quentin E. Klopjaeger",1969-09-26
"4497","17","20","2","Sing a Rainbow/Love is Blue","Dells",1969-09-26
"4498","18","New","1","Polk Salad Annie","Tony Joe White",1969-09-26
"4499","19","RE","13","Cry to Me","Staccatos",1969-09-26
"4500","20","New","1","Soul Deep","Box Tops",1969-09-26
"4501","1","1","7","Saved by the Bell","Robin Gibb",1969-10-03
"4502","2","7","4","Put a Little Love in Your Heart","Jackie DeShannon",1969-10-03
"4503","3","4","6","Make Me an Island","Joe Dolan",1969-10-03
"4504","4","2","13","Sugar, Sugar","Archies",1969-10-03
"4505","5","3","7","Baby Make it Soon","Marmalade",1969-10-03
"4506","6","5","11","Bad Moon Rising","Creedence Clearwater Revival",1969-10-03
"4507","7","8","4","Conversations","Cilla Black",1969-10-03
"4508","8","11","12","Turn Around","Ken J. Larkin",1969-10-03
"4509","9","9","15","Time is Tight","Booker T & The MG’s",1969-10-03
"4510","10","17","3","Sing a Rainbow/Love is Blue","Dells",1969-10-03
"4511","11","6","8","Good Morning Starshine","Oliver",1969-10-03
"4512","12","20","2","Soul Deep","Box Tops",1969-10-03
"4513","13","14","5","Way of Life","Family Dogg",1969-10-03
"4514","14","15","3","Katrina’s Theme","Jill Kirkland",1969-10-03
"4515","15","16","3","Abergavenny","Quentin E. Klopjaeger",1969-10-03
"4516","16","10","5","Jack and Jill","Tommy Roe",1969-10-03
"4517","17","19","14","Cry to Me","Staccatos",1969-10-03
"4518","18","New","1","La-Dee-Doo-Down-Down","Archies",1969-10-03
"4519","19","New","1","A Boy Named Sue","Johnny Cash",1969-10-03
"4520","20","New","1","Green River","Creedence Clearwater Revival",1969-10-03
"4521","1","2","5","Put a Little Love in Your Heart","Jackie DeShannon",1969-10-10
"4522","2","1","8","Saved by the Bell","Robin Gibb",1969-10-10
"4523","3","12","3","Soul Deep","Box Tops",1969-10-10
"4524","4","3","7","Make Me an Island","Joe Dolan",1969-10-10
"4525","5","5","8","Baby Make it Soon","Marmalade",1969-10-10
"4526","6","4","14","Sugar, Sugar","Archies",1969-10-10
"4527","7","8","13","Turn Around","Ken J. Larkin",1969-10-10
"4528","8","7","5","Conversations","Cilla Black",1969-10-10
"4529","9","10","4","Sing a Rainbow/Love is Blue","Dells",1969-10-10
"4530","10","6","12","Bad Moon Rising","Creedence Clearwater Revival",1969-10-10
"4531","11","14","4","Katrina’s Theme","Jill Kirkland",1969-10-10
"4532","12","18","2","La-Dee-Doo-Down-Down","Archies",1969-10-10
"4533","13","New","1","Don’t Forget to Remember","Bee Gees",1969-10-10
"4534","14","19","2","A Boy Named Sue","Johnny Cash",1969-10-10
"4535","15","17","15","Cry to Me","Staccatos",1969-10-10
"4536","16","9","16","Time is Tight","Booker T & The MG’s",1969-10-10
"4537","17","15","4","Abergavenny","Quentin E. Klopjaeger",1969-10-10
"4538","18","New","1","Sweet Caroline","Neil Diamond",1969-10-10
"4539","19","20","2","Green River","Creedence Clearwater Revival",1969-10-10
"4540","20","New","1","Hold on to What You’ve Got","Staccatos",1969-10-10
"4541","1","1","6","Put a Little Love in Your Heart","Jackie DeShannon",1969-10-17
"4542","2","3","4","Soul Deep","Box Tops",1969-10-17
"4543","3","13","2","Don’t Forget to Remember","Bee Gees",1969-10-17
"4544","4","4","8","Make Me an Island","Joe Dolan",1969-10-17
"4545","5","2","9","Saved by the Bell","Robin Gibb",1969-10-17
"4546","6","6","15","Sugar, Sugar","Archies",1969-10-17
"4547","7","12","3","La-Dee-Doo-Down-Down","Archies",1969-10-17
"4548","8","8","6","Conversations","Cilla Black",1969-10-17
"4549","9","18","2","Sweet Caroline","Neil Diamond",1969-10-17
"4550","10","9","5","Sing a Rainbow/Love is Blue","Dells",1969-10-17
"4551","11","15","16","Cry to Me","Staccatos",1969-10-17
"4552","12","5","9","Baby Make it Soon","Marmalade",1969-10-17
"4553","13","7","14","Turn Around","Ken J. Larkin",1969-10-17
"4554","14","14","3","A Boy Named Sue","Johnny Cash",1969-10-17
"4555","15","11","5","Katrina’s Theme","Jill Kirkland",1969-10-17
"4556","16","10","13","Bad Moon Rising","Creedence Clearwater Revival",1969-10-17
"4557","17","19","3","Green River","Creedence Clearwater Revival",1969-10-17
"4558","18","New","1","Suspicious Minds","Elvis Presley",1969-10-17
"4559","19","20","2","Hold on to What You’ve Got","Staccatos",1969-10-17
"4560","20","New","1","Viva Bobby Joe","Equals",1969-10-17
"4561","1","3","3","Don’t Forget to Remember","Bee Gees",1969-10-24
"4562","2","1","7","Put a Little Love in Your Heart","Jackie DeShannon",1969-10-24
"4563","3","2","5","Soul Deep","Box Tops",1969-10-24
"4564","4","7","4","La-Dee-Doo-Down-Down","Archies",1969-10-24
"4565","5","11","17","Cry to Me","Staccatos",1969-10-24
"4566","6","8","7","Conversations","Cilla Black",1969-10-24
"4567","7","9","3","Sweet Caroline","Neil Diamond",1969-10-24
"4568","8","18","2","Suspicious Minds","Elvis Presley",1969-10-24
"4569","9","6","16","Sugar, Sugar","Archies",1969-10-24
"4570","10","17","4","Green River","Creedence Clearwater Revival",1969-10-24
"4571","11","4","9","Make Me an Island","Joe Dolan",1969-10-24
"4572","12","5","10","Saved by the Bell","Robin Gibb",1969-10-24
"4573","13","14","4","A Boy Named Sue","Johnny Cash",1969-10-24
"4574","14","15","6","Katrina’s Theme","Jill Kirkland",1969-10-24
"4575","15","10","6","Sing a Rainbow/Love is Blue","Dells",1969-10-24
"4576","16","20","2","Viva Bobby Joe","Equals",1969-10-24
"4577","17","19","3","Hold on to What You’ve Got","Staccatos",1969-10-24
"4578","18","RE","5","Abergavenny","Quentin E. Klopjaeger",1969-10-24
"4579","19","New","1","Who’s That Girl","Bats",1969-10-24
"4580","20","New","1","Theresa","Dave Mills",1969-10-24
"4581","1","1","4","Don’t Forget to Remember","Bee Gees",1969-10-31
"4582","2","3","6","Soul Deep","Box Tops",1969-10-31
"4583","3","5","18","Cry to Me","Staccatos",1969-10-31
"4584","4","4","5","La-Dee-Doo-Down-Down","Archies",1969-10-31
"4585","5","8","3","Suspicious Minds","Elvis Presley",1969-10-31
"4586","6","2","8","Put a Little Love in Your Heart","Jackie DeShannon",1969-10-31
"4587","7","10","5","Green River","Creedence Clearwater Revival",1969-10-31
"4588","8","6","8","Conversations","Cilla Black",1969-10-31
"4589","9","7","4","Sweet Caroline","Neil Diamond",1969-10-31
"4590","10","16","3","Viva Bobby Joe","Equals",1969-10-31
"4591","11","9","17","Sugar, Sugar","Archies",1969-10-31
"4592","12","20","2","Theresa","Dave Mills",1969-10-31
"4593","13","19","2","Who’s That Girl","Bats",1969-10-31
"4594","14","17","4","Hold on to What You’ve Got","Staccatos",1969-10-31
"4595","15","12","11","Saved by the Bell","Robin Gibb",1969-10-31
"4596","16","11","10","Make Me an Island","Joe Dolan",1969-10-31
"4597","17","New","1","Love at First Sight","Sounds Nice",1969-10-31
"4598","18","New","1","I’ll Never Fall in Love Again","Bobbie Gentry",1969-10-31
"4599","19","18","6","Abergavenny","Quentin E. Klopjaeger",1969-10-31
"4600","20","New","1","Backstreet","Outlet",1969-10-31
"4601","1","1","5","Don’t Forget to Remember","Bee Gees",1969-11-07
"4602","2","5","4","Suspicious Minds","Elvis Presley",1969-11-07
"4603","3","3","19","Cry to Me","Staccatos",1969-11-07
"4604","4","4","6","La-Dee-Doo-Down-Down","Archies",1969-11-07
"4605","5","2","7","Soul Deep","Box Tops",1969-11-07
"4606","6","13","3","Who’s That Girl","Bats",1969-11-07
"4607","7","7","6","Green River","Creedence Clearwater Revival",1969-11-07
"4608","8","6","9","Put a Little Love in Your Heart","Jackie DeShannon",1969-11-07
"4609","9","10","4","Viva Bobby Joe","Equals",1969-11-07
"4610","10","9","5","Sweet Caroline","Neil Diamond",1969-11-07
"4611","11","12","3","Theresa","Dave Mills",1969-11-07
"4612","12","8","9","Conversations","Cilla Black",1969-11-07
"4613","13","17","2","Love at First Sight","Sounds Nice",1969-11-07
"4614","14","18","2","I’ll Never Fall in Love Again","Bobbie Gentry",1969-11-07
"4615","15","14","5","Hold on to What You’ve Got","Staccatos",1969-11-07
"4616","16","11","18","Sugar, Sugar","Archies",1969-11-07
"4617","17","20","2","Backstreet","Outlet",1969-11-07
"4618","18","15","12","Saved by the Bell","Robin Gibb",1969-11-07
"4619","19","New","1","I’m Gonna Make You Mine","Lou Christie",1969-11-07
"4620","20","New","1","Faithful and True","Percy Sledge",1969-11-07
"4621","1","2","5","Suspicious Minds","Elvis Presley",1969-11-14
"4622","2","4","7","La-Dee-Doo-Down-Down","Archies",1969-11-14
"4623","3","1","6","Don’t Forget to Remember","Bee Gees",1969-11-14
"4624","4","3","20","Cry to Me","Staccatos",1969-11-14
"4625","5","7","7","Green River","Creedence Clearwater Revival",1969-11-14
"4626","6","8","10","Put a Little Love in Your Heart","Jackie DeShannon",1969-11-14
"4627","7","5","8","Soul Deep","Box Tops",1969-11-14
"4628","8","13","3","Love at First Sight","Sounds Nice",1969-11-14
"4629","9","11","4","Theresa","Dave Mills",1969-11-14
"4630","10","6","4","Who’s That Girl","Bats",1969-11-14
"4631","11","14","3","I’ll Never Fall in Love Again","Bobbie Gentry",1969-11-14
"4632","12","15","6","Hold on to What You’ve Got","Staccatos",1969-11-14
"4633","13","17","3","Backstreet","Outlet",1969-11-14
"4634","14","10","6","Sweet Caroline","Neil Diamond",1969-11-14
"4635","15","9","5","Viva Bobby Joe","Equals",1969-11-14
"4636","16","20","2","Faithful and True","Percy Sledge",1969-11-14
"4637","17","19","2","I’m Gonna Make You Mine","Lou Christie",1969-11-14
"4638","18","New","1","He ain’t Heavy, He’s My Brother","Hollies",1969-11-14
"4639","19","New","1","Get Together","Youngbloods",1969-11-14
"4640","20","New","1","Laughing","Guess Who",1969-11-14
"4641","1","1","6","Suspicious Minds","Elvis Presley",1969-11-21
"4642","2","3","7","Don’t Forget to Remember","Bee Gees",1969-11-21
"4643","3","4","21","Cry to Me","Staccatos",1969-11-21
"4644","4","2","8","La-Dee-Doo-Down-Down","Archies",1969-11-21
"4645","5","9","5","Theresa","Dave Mills",1969-11-21
"4646","6","7","9","Soul Deep","Box Tops",1969-11-21
"4647","7","11","4","I’ll Never Fall in Love Again","Bobbie Gentry",1969-11-21
"4648","8","6","11","Put a Little Love in Your Heart","Jackie DeShannon",1969-11-21
"4649","9","10","5","Who’s That Girl","Bats",1969-11-21
"4650","10","8","4","Love at First Sight","Sounds Nice",1969-11-21
"4651","11","5","8","Green River","Creedence Clearwater Revival",1969-11-21
"4652","12","13","4","Backstreet","Outlet",1969-11-21
"4653","13","18","2","He ain’t Heavy, He’s My Brother","Hollies",1969-11-21
"4654","14","17","3","I’m Gonna Make You Mine","Lou Christie",1969-11-21
"4655","15","15","6","Viva Bobby Joe","Equals",1969-11-21
"4656","16","19","2","Get Together","Youngbloods",1969-11-21
"4657","17","16","3","Faithful and True","Percy Sledge",1969-11-21
"4658","18","14","7","Sweet Caroline","Neil Diamond",1969-11-21
"4659","19","New","1","Little Woman","Bobby Sherman",1969-11-21
"4660","20","New","1","Throw Down A Line","Cliff & Hank",1969-11-21
"4661","1","1","7","Suspicious Minds","Elvis Presley",1969-11-28
"4662","2","4","9","La-Dee-Doo-Down-Down","Archies",1969-11-28
"4663","3","7","5","I’ll Never Fall in Love Again","Bobbie Gentry",1969-11-28
"4664","4","5","6","Theresa","Dave Mills",1969-11-28
"4665","5","2","8","Don’t Forget to Remember","Bee Gees",1969-11-28
"4666","6","3","22","Cry to Me","Staccatos",1969-11-28
"4667","7","9","6","Who’s That Girl","Bats",1969-11-28
"4668","8","13","3","He ain’t Heavy, He’s My Brother","Hollies",1969-11-28
"4669","9","14","4","I’m Gonna Make You Mine","Lou Christie",1969-11-28
"4670","10","12","5","Backstreet","Outlet",1969-11-28
"4671","11","6","10","Soul Deep","Box Tops",1969-11-28
"4672","12","16","3","Get Together","Youngbloods",1969-11-28
"4673","13","10","5","Love at First Sight","Sounds Nice",1969-11-28
"4674","14","8","12","Put a Little Love in Your Heart","Jackie DeShannon",1969-11-28
"4675","15","17","4","Faithful and True","Percy Sledge",1969-11-28
"4676","16","19","2","Little Woman","Bobby Sherman",1969-11-28
"4677","17","11","9","Green River","Creedence Clearwater Revival",1969-11-28
"4678","18","New","1","So Good Together","Andy Kim",1969-11-28
"4679","19","20","2","Throw Down A Line","Cliff & Hank",1969-11-28
"4680","20","New","1","Oh Well","Fleetwood Mac",1969-11-28
"4681","1","5","9","Don’t Forget to Remember","Bee Gees",1969-12-05
"4682","2","1","8","Suspicious Minds","Elvis Presley",1969-12-05
"4683","3","4","7","Theresa","Dave Mills",1969-12-05
"4684","4","3","6","I’ll Never Fall in Love Again","Bobbie Gentry",1969-12-05
"4685","5","2","10","La-Dee-Doo-Down-Down","Archies",1969-12-05
"4686","6","8","4","He ain’t Heavy, He’s My Brother","Hollies",1969-12-05
"4687","7","9","5","I’m Gonna Make You Mine","Lou Christie",1969-12-05
"4688","8","6","23","Cry to Me","Staccatos",1969-12-05
"4689","9","7","7","Who’s That Girl","Bats",1969-12-05
"4690","10","12","4","Get Together","Youngbloods",1969-12-05
"4691","11","18","2","So Good Together","Andy Kim",1969-12-05
"4692","12","15","5","Faithful and True","Percy Sledge",1969-12-05
"4693","13","16","3","Little Woman","Bobby Sherman",1969-12-05
"4694","14","10","6","Backstreet","Outlet",1969-12-05
"4695","15","13","6","Love at First Sight","Sounds Nice",1969-12-05
"4696","16","New","1","Down on the Corner","Creedence Clearwater Revival",1969-12-05
"4697","17","New","1","Tracy","Cuff Links",1969-12-05
"4698","18","RE","18","I Need You","Rick Nelson",1969-12-05
"4699","19","New","1","Jam Up Jelly Tight","Tommy Roe",1969-12-05
"4700","20","New","1","(Call Me) Number One","Tremeloes",1969-12-05
"4701","1","2","9","Suspicious Minds","Elvis Presley",1969-12-12
"4702","2","3","8","Theresa","Dave Mills",1969-12-12
"4703","3","1","10","Don’t Forget to Remember","Bee Gees",1969-12-12
"4704","4","6","5","He ain’t Heavy, He’s My Brother","Hollies",1969-12-12
"4705","5","5","11","La-Dee-Doo-Down-Down","Archies",1969-12-12
"4706","6","4","7","I’ll Never Fall in Love Again","Bobbie Gentry",1969-12-12
"4707","7","11","3","So Good Together","Andy Kim",1969-12-12
"4708","8","8","24","Cry to Me","Staccatos",1969-12-12
"4709","9","9","8","Who’s That Girl","Bats",1969-12-12
"4710","10","16","2","Down on the Corner","Creedence Clearwater Revival",1969-12-12
"4711","11","7","6","I’m Gonna Make You Mine","Lou Christie",1969-12-12
"4712","12","10","5","Get Together","Youngbloods",1969-12-12
"4713","13","17","2","Tracy","Cuff Links",1969-12-12
"4714","14","20","2","(Call Me) Number One","Tremeloes",1969-12-12
"4715","15","12","6","Faithful and True","Percy Sledge",1969-12-12
"4716","16","15","7","Love at First Sight","Sounds Nice",1969-12-12
"4717","17","13","4","Little Woman","Bobby Sherman",1969-12-12
"4718","18","19","2","Jam Up Jelly Tight","Tommy Roe",1969-12-12
"4719","19","18","19","I Need You","Rick Nelson",1969-12-12
"4720","20","New","1","Does Anybody Miss Me","Ken J. Larkin",1969-12-12
"4721","1","1","10","Suspicious Minds","Elvis Presley",1969-12-19
"4722","2","4","6","He ain’t Heavy, He’s My Brother","Hollies",1969-12-19
"4723","3","2","9","Theresa","Dave Mills",1969-12-19
"4724","4","3","11","Don’t Forget to Remember","Bee Gees",1969-12-19
"4725","5","10","3","Down on the Corner","Creedence Clearwater Revival",1969-12-19
"4726","6","5","12","La-Dee-Doo-Down-Down","Archies",1969-12-19
"4727","7","7","4","So Good Together","Andy Kim",1969-12-19
"4728","8","14","3","(Call Me) Number One","Tremeloes",1969-12-19
"4729","9","8","25","Cry to Me","Staccatos",1969-12-19
"4730","10","6","8","I’ll Never Fall in Love Again","Bobbie Gentry",1969-12-19
"4731","11","13","3","Tracy","Cuff Links",1969-12-19
"4732","12","18","3","Jam Up Jelly Tight","Tommy Roe",1969-12-19
"4733","13","9","9","Who’s That Girl","Bats",1969-12-19
"4734","14","16","8","Love at First Sight","Sounds Nice",1969-12-19
"4735","15","11","7","I’m Gonna Make You Mine","Lou Christie",1969-12-19
"4736","16","New","1","Pretty Belinda","Chris Andrews",1969-12-19
"4737","17","19","20","I Need You","Rick Nelson",1969-12-19
"4738","18","20","2","Does Anybody Miss Me","Ken J. Larkin",1969-12-19
"4739","19","New","1","Silent Night","Percy Sledge",1969-12-19
"4740","20","New","1","Nursery Rhyme","Archies",1969-12-19
"4741","1","1","11","Suspicious Minds","Elvis Presley",1969-12-26
"4742","2","2","7","He ain’t Heavy, He’s My Brother","Hollies",1969-12-26
"4743","3","8","4","(Call Me) Number One","Tremeloes",1969-12-26
"4744","4","3","10","Theresa","Dave Mills",1969-12-26
"4745","5","5","4","Down on the Corner","Creedence Clearwater Revival",1969-12-26
"4746","6","4","12","Don’t Forget to Remember","Bee Gees",1969-12-26
"4747","7","9","26","Cry to Me","Staccatos",1969-12-26
"4748","8","6","13","La-Dee-Doo-Down-Down","Archies",1969-12-26
"4749","9","11","4","Tracy","Cuff Links",1969-12-26
"4750","10","16","2","Pretty Belinda","Chris Andrews",1969-12-26
"4751","11","12","4","Jam Up Jelly Tight","Tommy Roe",1969-12-26
"4752","12","7","5","So Good Together","Andy Kim",1969-12-26
"4753","13","10","9","I’ll Never Fall in Love Again","Bobbie Gentry",1969-12-26
"4754","14","19","2","Silent Night","Percy Sledge",1969-12-26
"4755","15","14","9","Love at First Sight","Sounds Nice",1969-12-26
"4756","16","13","10","Who’s That Girl","Bats",1969-12-26
"4757","17","18","3","Does Anybody Miss Me","Ken J. Larkin",1969-12-26
"4758","18","20","2","Nursery Rhyme","Archies",1969-12-26
"4759","19","15","8","I’m Gonna Make You Mine","Lou Christie",1969-12-26
"4760","20","New","1","Baby it’s You","Smith",1969-12-26
"4761","1","2","8","He ain’t Heavy, He’s My Brother","Hollies",1970-01-02
"4762","2","3","5","(Call Me) Number One","Tremeloes",1970-01-02
"4763","3","1","12","Suspicious Minds","Elvis Presley",1970-01-02
